,dien_tich,mat_tien,huong_nha,lat,long,gia_m2,do_rong_duong_ml,ten_phuong,sodo
12390,45.0,4.0,KXĐ,21.053419,105.8868173,62.22222222222222,Ngõ 1 ô tô,Phường Long Biên,0
12391,75.0,8.97,Tây,21.0273956,105.8950695,70.0,Ngõ 1 ô tô,Phường Long Biên,1
12392,35.0,6.23,Đông Bắc,21.0267986,105.9006428,55.71428571428572,Ngõ 1 ô tô,Phường Long Biên,1
12393,93.0,5.0,KXĐ,21.0437208,105.9259271,64.0,Ngõ 4 ô tô trở lên,Phường Long Biên,0
12394,80.0,6.985,KXĐ,21.0233526,105.9079671,111.25,Ngõ 1 ô tô,Phường Long Biên,0
12395,75.0,8.97,Tây,21.0244365,105.8982491,70.0,Ngõ 1 ô tô,Phường Long Biên,0
12396,61.0,8.603076923076923,KXĐ,21.0383592,105.9339701,50.819672,Ngõ 1 ô tô,Phường Phúc Lợi,0
12397,31.0,8.236153846153847,KXĐ,21.0701691,105.9068373,56.451613,Ngõ 1 ô tô,Phường Đức Giang,0
12398,60.0,7.86923076923077,KXĐ,21.0355605,105.8728104,115.0,Ngõ 4 ô tô tránh,Phường Bồ Đề,0
12399,60.0,7.502307692307693,KXĐ,21.0396348,105.8824499,105.0,Ngõ 4 ô tô tránh,Phường Bồ Đề,0
12400,43.0,7.135384615384616,KXĐ,21.0627556,105.9152412,65.0,Ngõ 1 ô tô,Phường Giang Biên,0
12401,46.0,6.768461538461539,KXĐ,21.0300783,105.9140335,42.391304,Ngõ 1 ô tô,Phường Sài Đồng,0
12402,34.0,6.401538461538462,KXĐ,21.0300783,105.9140335,44.117647,Ngõ 1 ô tô,Phường Sài Đồng,0
12403,40.0,6.034615384615385,KXĐ,21.0566774,105.8957567,35.0,Ngõ 1 ô tô,Phường Việt Hưng,0
12404,47.0,5.667692307692308,KXĐ,21.0349208,105.919251,47.87234,Ngõ 1 ô tô,Phường Sài Đồng,1
12405,55.0,5.300769230769231,KXĐ,21.0621941,105.9163657,52.727273,Ngõ 1 ô tô,Phường Giang Biên,0
12406,42.0,4.933846153846154,Tây Nam,21.0237462,105.8794801,57.142857,Ngõ 1 ô tô,Phường Long Biên,1
12407,65.0,4.566923076923077,KXĐ,21.0437208,105.9259271,43.846154,Ngõ 1 ô tô,Phường Phúc Lợi,1
12408,46.5,4.2,Đông Nam,21.0233526,105.9079671,49.46236559139785,Ngõ 1 ô tô,Phường Thạch Bàn,0
12410,44.6,5.7,Đông Nam,21.0279025,105.8839466,50.5,Ngõ 1 ô tô,Phường Long Biên,0
12412,83.0,4.6,KXĐ,21.0654332,105.8810619,104.819277,Ngõ ngách,Phường Đức Giang,1
12413,95.0,4.7,KXĐ,21.056117,105.8658584,70.526316,Ngõ 3 ô tô tránh,Phường Ngọc Thụy,1
12414,80.0,4.8,KXĐ,21.0409106,105.9048432,58.125,Ngõ 3 ô tô tránh,Phường Phúc Đồng,1
12415,40.0,4.9,KXĐ,21.0701691,105.9068373,42.5,Ngõ 1 ô tô,Phường Đức Giang,0
12416,52.0,5.0,KXĐ,21.0608485,105.8825179,75.0,Ngõ 2 ô tô tránh,Phường Đức Giang,1
12418,40.0,5.2,KXĐ,21.0250451,105.9078847,60.0,Ngõ 1 ô tô,Phường Thạch Bàn,1
12420,90.0,5.4,KXĐ,21.0588582,105.8583873,75.555556,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12421,60.0,5.5,KXĐ,21.0098329,105.9051712,33.333333,Ngõ 1 ô tô,Phường Cự Khối,0
12422,90.0,5.6000000000000005,KXĐ,21.0588582,105.8583873,106.666667,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12423,117.0,5.7,Đông,21.0233526,105.9079671,97.0,Ngõ 4 ô tô trở lên,Phường Thạch Bàn,0
12424,50.0,3.5,KXĐ,21.0521972,105.8649725,39.0,Ngõ 1 ô tô,Phường Ngọc Thụy,0
12426,92.0,5.2,KXĐ,21.06229,105.8981502,44.565217,Ngõ 1 ô tô,Phường Việt Hưng,1
